,Open,High,Low,Close,Volume,Ticker
2023-02-06 08:47:40.407765,684.8492707909453,693.0622734154689,681.0392578835055,687.0845864971237,84523756,AAPL
2023-02-07 08:47:40.407765,669.2173177857961,673.8931885929755,661.7709387728783,669.379259138817,16745461,AAPL
2023-02-08 08:47:40.407765,668.3978745162917,680.6273264266422,665.5637693124519,670.8853891880393,71931925,AAPL
2023-02-09 08:47:40.407765,672.2863634282858,674.9098270908312,661.9571895878266,669.2145763907972,62809298,AAPL
2023-02-10 08:47:40.407765,671.4800059580531,672.9915184640729,667.6559472930855,669.585909780757,85425663,AAPL
2023-02-13 08:47:40.407765,661.9626508741189,667.9384793778306,656.2662158683431,662.3658061318484,104521535,AAPL
2023-02-14 08:47:40.407765,657.3667710171133,660.5865414515456,652.5808326143527,655.1993142580434,49015255,AAPL
2023-02-15 08:47:40.407765,661.6079081190333,669.4289439793096,656.9867308451521,661.5356862492713,155038517,AAPL
2023-02-16 08:47:40.407765,653.4038335203991,661.7672655351716,648.8652637769667,654.8662276633409,37618859,AAPL
2023-02-17 08:47:40.407765,655.8679505345755,657.5470973386185,649.7879985289022,654.879613691859,43764993,AAPL
2023-02-20 08:47:40.407765,658.5899330624839,663.7640302394256,647.2182978737177,655.5423530498888,28705320,AAPL
2023-02-21 08:47:40.407765,652.346278496506,657.1775438289774,646.8607129997475,652.3302346612576,61961880,AAPL
2023-02-22 08:47:40.407765,647.5512566434325,648.9746084874623,636.3519936808018,645.0530721740179,85652428,AAPL
2023-02-23 08:47:40.407765,649.2833021563077,656.2329008020196,640.7310618260503,648.8726456782667,113283877,AAPL
2023-02-24 08:47:40.407765,646.4108646832711,656.4336948984889,642.472428974803,647.9537646127689,131428796,AAPL
2023-02-27 08:47:40.407765,645.1531700731592,650.0794875363866,635.7995232728796,644.1056783291697,48975351,AAPL
2023-02-28 08:47:40.407765,630.7197673764913,632.3988674617532,622.9245357318754,629.6797135061684,40529442,AAPL
2023-03-01 08:47:40.407765,619.6958436944027,623.4056445543501,614.1816770591672,618.0478194527628,79926141,AAPL
2023-03-02 08:47:40.407765,611.3731736747924,615.3451064511848,600.6251336526865,608.5779973864816,53326409,AAPL
2023-03-03 08:47:40.407765,599.0919029728431,610.7470457918355,593.4629370677934,601.895702653138,56517577,AAPL
2023-03-06 08:47:40.407765,600.72936486481,603.4736854049366,599.0610569695731,600.6899889600774,35761205,AAPL
2023-03-07 08:47:40.407765,599.9849150688027,603.7771688003916,596.3310285861775,598.8639964126784,221721682,AAPL
2023-03-08 08:47:40.407765,595.6182016076992,598.8148649076279,585.9389458447178,593.9730731390216,56801619,AAPL
2023-03-09 08:47:40.407765,607.9055524644905,615.2880011270277,602.3767301448813,607.9579968404304,50552055,AAPL
2023-03-10 08:47:40.407765,607.4786667581151,610.3716427404796,601.9409459335873,605.5985112280346,55042592,AAPL
2023-03-13 08:47:40.407765,608.4354519037605,615.1547421874019,605.5438001474907,607.5313982521478,45871993,AAPL
2023-03-14 08:47:40.407765,600.8156671278379,609.6818102913803,595.0579869321224,601.6819210523597,34210170,AAPL
2023-03-15 08:47:40.407765,599.3209202802967,607.3525652630743,594.5828045298525,600.9936115214533,45355460,AAPL
2023-03-16 08:47:40.407765,613.3171622562155,618.9041177908075,609.0911390134289,614.4324468489154,127326359,AAPL
2023-03-17 08:47:40.407765,614.6538358135283,618.6662385801193,603.7173582192767,611.7436313561504,74548771,AAPL
2023-03-20 08:47:40.407765,603.4146285309979,610.1428692732565,596.3333123710723,604.1235437871715,119741307,AAPL
2023-03-21 08:47:40.407765,583.843679323307,588.1652624784754,578.466623711602,583.065012509135,262080119,AAPL
2023-03-22 08:47:40.407765,564.5366034550068,569.9106682065891,556.5858000647635,564.5066655594031,31471680,AAPL
